"tweet","postedDate","repliesCount","retweetsCount","likesCount"
"What better way to celebrate #InternationalDanceDay than learning a few new moves?! Get ready to bust a move in no time. http://bit.ly/udemydance ","5:09 PM - 29 Apr 2019","1","","8"
"Raise a hand if you learn on Udemy. . Now raise a hand if you're a mom. . If you have two hands up, we want to hear from you! Comment what you're learning below","3:15 PM - 29 Apr 2019","25","7","87"
"""We’re not always the best judges of our own performance, so it’s irresponsible to suggest that people should close themselves off to a precious resource for self-improvement."" Read more from @theshelleylynn about why #feedbackisfuel in @FastCompany","10:23 AM - 29 Apr 2019","","2","10"
"“I’m not buying anymore courses until i finish the ones i have now.”

Me on @udemy:","10:15 AM - 28 Apr 2019","11","19","156"
"Tag your favorite instructor to learn from on this sunny Sunday #WeekendHustlers","12:19 PM - 28 Apr 2019","18","5","20"
"Okay, so we can't show you (yet) how to bake your own pretzel, but we can help you learn how to bend like one! http://bit.ly/udemyyoga  #NationalPretzelDay","4:15 PM - 26 Apr 2019","","2","4"
"Just popping in to say happy Friday Eve, and @udemy is dope.","11:32 AM - 25 Apr 2019","","1","7"
"Irwin Anand (@ipsanand) will be responsible for starting @Udemy's first office in India, growing the local team and deepening the company's investment in the country.","3:50 AM - 23 Apr 2019","1","3","14"
"Out of boredom (and practicality), I decided to take a @udemy course in the technical basics of cyber security. Look out world, I'm becoming an even larger nerd ","8:28 AM - 24 Apr 2019","","4","12"
"Clap your hands for these new instructorsTakin' Tuesday to celebrate these awesome Newcomer Challenge Winners! http://bit.ly/newcomerchallengewinners … #ITeachOnUdemy","4:24 PM - 23 Apr 2019","3","1","4"
"Happy #EarthDay. Take today to share your knowledge about how someone can help the Earth. RT with your best eco-friendly tip","4:57 PM - 22 Apr 2019","1","","8"
"Learning sure is egg-citing, isn't it?","8:00 AM - 21 Apr 2019","3","3","23"
"Question time. You're all #WeekendHustlers for a reason, and we want to hear it from you. So, what makes you spend your weekends learning?","10:00 AM - 20 Apr 2019","9","","18"
"ITIL 4 plays an important role in helping organizations streamline IT processes to be more agile. Get the full scoop on ITIL 4 from Udemy for Business instructor Jason Dion.","3:52 PM - 19 Apr 2019","1","1","7"
"“I make Udemy courses and I let Udemy sell them for me” - @diginomadgirl https://buff.ly/2UZZ7Mp  @udemy #digitalnomad","9:24 AM - 18 Apr 2019","","2","4"
"Congratulations to our friends over at @Pinterest as they head towards their @NYSE debut tomorrow! Check out their Udemy for Business story here: https://bit.ly/2Jtx26e  #Pinterest #IPO #PINS","4:40 PM - 17 Apr 2019","1","15","5"
